entidad,municipio,cabecera,lat,lon,poblacion_total,poblacion_femenina,poblacion_masculina,pob_0_14,pob_15_64,pob_65_mas,grado_escolaridad,pea,pob_lengua_indigena,viviendas_totales,promedio_ocupantes_vivienda,pob_sin_afiliacion_salud
Tlaxcala,La Magdalena Tlaltelulco,La Magdalena Tlaltelulco,19.27736,-98.19496,19036,9596,9440,443,1140,103,10.95,911,35,5279,4.13,304
Tlaxcala,Lázaro Cárdenas,Lázaro Cárdenas,19.53876,-97.98319,3534,1799,1735,1033,2250,251,8.68,1318,3,1151,3.88,526
Tlaxcala,Mazatecochco de José María Morelos,Mazatecochco,19.17973,-98.19068,11592,5773,5819,3257,7495,754,8.27,5561,932,2967,4.6,4744
Tlaxcala,Muñoz de Domingo Arenas,Muñoz,19.47605,-98.20889,4755,2464,2291,1296,3066,393,9.08,1667,5,1603,3.83,850
Tlaxcala,Nanacamilpa de Mariano Arista,Ciudad de Nanacamilpa,19.49316,-98.53634,18686,9624,9062,5085,11940,1643,8.74,8473,51,6031,3.9,3488
Tlaxcala,Natívitas,Santiago Michac,19.22056,-98.33767,26309,13584,12725,7030,17077,2197,9.47,13306,77,8076,4.1,8873
Tlaxcala,Panotla,Panotla,19.31513,-98.26723,28357,14938,13419,6677,18905,2756,10.89,14180,231,9860,3.67,7795
Tlaxcala,Papalotla de Xicohténcatl,Papalotla,19.16985,-98.20459,33499,17317,16182,8986,22094,2326,9.85,16017,602,9953,4.01,9501
Tlaxcala,San Damián Texóloc,San Damián Texóloc,19.27843,-98.28462,5884,2962,2922,1364,3892,574,10.52,2881,14,1779,3.98,1519
Tlaxcala,San Francisco Tetlanohcan,San Francisco Tetlanohcan,19.26008,-98.16355,11761,6119,5642,3195,7628,926,9.59,5437,1416,3462,4.28,3486
Tlaxcala,San Jerónimo Zacualpan,San Jerónimo Zacualpan,19.24171,-98.26262,4092,2152,1940,999,2679,408,10.53,1823,9,1265,3.94,851
Tlaxcala,San José Teacalco,San José Teacalco,19.3357,-98.06442,6436,3279,3157,1792,4095,549,8.62,2476,23,1752,4.6,2092
Tlaxcala,San Juan Huactzinco,San Juan Huactzinco,19.23795,-98.2503,7688,4011,3677,2005,5038,598,10.47,4137,83,2016,4.49,2969
Tlaxcala,San Lorenzo Axocomanitla,San Lorenzo Axocomanitla,19.22522,-98.24887,5689,2922,2767,1392,3790,507,9.99,2423,17,1604,4.27,1143
Tlaxcala,San Lucas Tecopilco,San Lucas Tecopilco,19.48499,-98.25654,3077,1536,1541,756,1996,313,9.22,1069,7,1025,3.91,571
Tlaxcala,San Pablo del Monte,Ciudad de San Pablo del Monte,19.11974,-98.17042,82688,41886,40802,24146,54519,3880,8.46,41028,9855,20708,4.51,30572
Tlaxcala,Sanctórum de Lázaro Cárdenas,Sanctórum,19.4927,-98.47204,9432,4849,4583,2651,6077,704,8.78,3737,21,2979,3.95,1493
